YEAR,REGION,QUARTER,TOTAL
2015,Asia,1,5864167
2015,Americas,1,99798
2015,Oceania,1,136251
2015,Europe,1,349019
2015,Africa,1,31864
2015,OTHERS,1,1597
2016,Asia,1,6102757
2016,Americas,1,93361
2016,Oceania,1,111114
2016,Europe,1,326864
2016,Africa,1,30625
2016,OTHERS,1,1259
2017,Asia,1,6117986
2017,Americas,1,83559
2017,Oceania,1,101833
2017,Europe,1,303778
2017,Africa,1,24313
2017,OTHERS,1,200
2018,Asia,1,5936223
2018,Americas,1,107344
2018,Oceania,1,102639
2018,Europe,1,336460
2018,Africa,1,36818
2018,OTHERS,1,734
2019,Asia,1,6121036
2019,Americas,1,108651
2019,Oceania,1,102336
2019,Europe,1,327994
2019,Africa,1,35644
2019,OTHERS,1,569
2020,Asia,1,3790852
2020,Americas,1,75778
2020,Oceania,1,81737
2020,Europe,1,256716
2020,Africa,1,27856
2020,OTHERS,1,516
2015,Asia,2,5585678
2015,Americas,2,86824
2015,Oceania,2,124982
2015,Europe,2,259023
2015,Africa,2,27106
2015,OTHERS,2,991
2016,Asia,2,5955759
2016,Americas,2,76293
2016,Oceania,2,94717
2016,Europe,2,220629
2016,Africa,2,18827
2016,OTHERS,2,570
2017,Asia,2,5891957
2017,Americas,2,73741
2017,Oceania,2,94612
2017,Europe,2,237954
2017,Africa,2,20837
2017,OTHERS,2,296
2018,Asia,2,5743345
2018,Americas,2,94584
2018,Oceania,2,91570
2018,Europe,2,249560
2018,Africa,2,30537
2018,OTHERS,2,554
2019,Asia,2,6157867
2019,Americas,2,100361
2019,Oceania,2,102955
2019,Europe,2,262835
2019,Africa,2,33827
2019,OTHERS,2,500
2020,Asia,2,18963
2020,Americas,2,106
2020,Oceania,2,72
2020,Europe,2,354
2020,Africa,2,44
2020,OTHERS,2,3
2015,Asia,3,5891517
2015,Americas,3,86849
2015,Oceania,3,151543
2015,Europe,3,316694
2015,Africa,3,35056
2015,OTHERS,3,1265
2016,Asia,3,6173658
2016,Americas,3,76115
2016,Oceania,3,112996
2016,Europe,3,303258
2016,Africa,3,30251
2016,OTHERS,3,877
2017,Asia,3,5968011
2017,Americas,3,75191
2017,Oceania,3,105614
2017,Europe,3,307086
2017,Africa,3,28468
2017,OTHERS,3,499
2018,Asia,3,6079264
2018,Americas,3,93970
2018,Oceania,3,105806
2018,Europe,3,329832
2018,Africa,3,46141
2018,OTHERS,3,734
2019,Asia,3,6151130
2019,Americas,3,102033
2019,Oceania,3,108929
2019,Europe,3,338994
2019,Africa,3,52809
2019,OTHERS,3,733
2020,Asia,3,42784
2020,Americas,3,496
2020,Oceania,3,417
2020,Europe,3,2248
2020,Africa,3,456
2020,OTHERS,3,21
2015,Asia,4,6118251
2015,Americas,4,86659
2015,Oceania,4,138927
2015,Europe,4,291817
2015,Africa,4,33956
2015,OTHERS,4,1417
2016,Asia,4,6542000
2016,Americas,4,76565
2016,Oceania,4,116406
2016,Europe,4,261148
2016,Africa,4,30240
2016,OTHERS,4,1103
2017,Asia,4,6053908
2017,Americas,4,76076
2017,Oceania,4,109611
2017,Europe,4,243975
2017,Africa,4,28577
2017,OTHERS,4,377
2018,Asia,4,5942255
2018,Americas,4,93899
2018,Oceania,4,108422
2018,Europe,4,262096
2018,Africa,4,38895
2018,OTHERS,4,672
2019,Asia,4,5491424
2019,Americas,4,95677
2019,Oceania,4,111277
2019,Europe,4,251481
2019,Africa,4,41061
2019,OTHERS,4,661
2020,Asia,4,31126
2020,Americas,4,333
2020,Oceania,4,375
2020,Europe,4,1105
2020,Africa,4,343
2020,OTHERS,4,21